epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,769.604,1.60771,2.17053,1.53883,0.51474,0.4048,0.42807,0.20466,1.63937,2.54518,1.46347,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226
2,1418.15,1.6179,1.95057,1.53579,0.54136,0.42959,0.45215,0.20654,1.66179,2.71119,1.45129,0.0193369,0.00644563,0.0193369,0.00644563,0.0193369,0.00644563,0.0193369,0.00644563
3,2040.89,1.68988,2.07797,1.60016,0.534,0.40517,0.42441,0.19403,1.70899,3.00741,1.51877,0.028017,0.009339,0.028017,0.009339,0.028017,0.009339,0.028017,0.009339
4,2623.39,1.68219,2.04134,1.6069,0.58209,0.47363,0.50907,0.25452,1.56797,3.0165,1.43402,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,3199.82,1.60368,1.86912,1.54553,0.64167,0.49954,0.55967,0.28545,1.54296,2.23555,1.39138,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,3776.44,1.54461,1.73256,1.49749,0.66307,0.52882,0.59291,0.31358,1.48373,2.27596,1.3391,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,4353.98,1.50516,1.64652,1.46635,0.66874,0.55909,0.61706,0.33491,1.42606,2.19086,1.28895,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,607.406,1.4669,1.56613,1.44356,0.6818,0.57287,0.63515,0.34681,1.42111,2.24614,1.28459,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1215.18,1.4381,1.51127,1.4236,0.70173,0.58822,0.65383,0.36248,1.40156,1.7751,1.26341,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,1823.23,1.41598,1.45314,1.40273,0.69314,0.60458,0.66508,0.37294,1.37641,1.73827,1.24377,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,2432.66,1.39456,1.3997,1.38454,0.71637,0.60623,0.6716,0.37772,1.36443,1.71245,1.23621,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,3042.61,1.36639,1.35225,1.36613,0.71878,0.61503,0.68372,0.38546,1.36508,1.60127,1.2343,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,3641.98,1.33969,1.29755,1.34281,0.72327,0.61791,0.68842,0.39181,1.34663,1.55408,1.22133,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,4243.96,1.31504,1.25564,1.32436,0.73024,0.61696,0.69263,0.39712,1.32987,1.49849,1.20615,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,4837.49,1.3123,1.2471,1.31874,0.73449,0.62257,0.69747,0.40266,1.31931,1.48595,1.19766,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,5438.26,1.29238,1.21201,1.30504,0.73484,0.6302,0.70314,0.40776,1.30955,1.47071,1.19298,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,6037.17,1.27336,1.17194,1.28938,0.73518,0.63556,0.70876,0.41315,1.30552,1.42702,1.18508,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,6650.98,1.25973,1.15245,1.27999,0.73569,0.64098,0.71139,0.4161,1.30172,1.41059,1.18068,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,7277.94,1.24156,1.11323,1.26702,0.74252,0.63889,0.71428,0.41938,1.29919,1.40051,1.17843,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,7897.59,1.22235,1.08922,1.25349,0.74562,0.64326,0.71663,0.42207,1.29635,1.38772,1.17504,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,627.891,1.24927,0.97981,1.27521,0.74488,0.64256,0.7181,0.4237,1.29342,1.36079,1.17331,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,1203.57,1.22701,0.94734,1.26173,0.74569,0.64365,0.72008,0.42555,1.28936,1.34186,1.17229,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,1770.1,1.19946,0.9089,1.24243,0.74815,0.64277,0.7211,0.42688,1.28656,1.31987,1.17129,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,2350.23,1.17338,0.86981,1.225,0.75294,0.6449,0.72361,0.4287,1.28506,1.30171,1.17044,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,2930.72,1.14793,0.8355,1.20558,0.75032,0.64895,0.7257,0.43017,1.28358,1.28621,1.16899,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,3485,1.1245,0.80351,1.19263,0.75244,0.64946,0.72683,0.43181,1.28184,1.2705,1.16832,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,4063.23,1.09884,0.7741,1.17892,0.75579,0.64916,0.7283,0.43345,1.28066,1.25297,1.16809,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,4646.47,1.07301,0.74167,1.16152,0.75481,0.65164,0.72951,0.43452,1.27875,1.23599,1.16643,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,5227.72,1.04956,0.71848,1.14856,0.7588,0.65283,0.73149,0.43557,1.2774,1.22018,1.16536,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,5807.83,1.02807,0.69296,1.13313,0.76224,0.65265,0.73275,0.43761,1.27555,1.20173,1.1642,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
